name;streetAddress;postalCode;addressLocality;addressRegion;addressCountry;geo_latitude;geo_longitude;url
Zur Tabakblüte;Dorfstraße 27a;16307;Gartz/O;Brandenburg;Deutschland;53.158860;14.346370;https://hofladen.info/hofladen/zur-tabakblute
S´Milch-Häusle Langenbeutingen;Lindenhof 1 (Im Stegle);74243;Langenbrettach;Baden-Württemberg;Deutschland;49.218470;9.414935;https://hofladen.info/hofladen/s%C2%B4milch-hausle-langenbeutingen
Rhönhof Henkel;Mahlertsmühle 3;36145;Hofbieber;Hessen;Deutschland;50.607660;9.938930;https://hofladen.info/hofladen/rhonhof-henkel
Le Quartier Christ;Hornbach 5;67433;Neustadt / Weinstraße;Rheinland-Pfalz;Deutschland;49.342096;8.167032;https://hofladen.info/hofladen/le-quartier-christ
Marienhof Erfurt;Leipziger Str. 158;99085;Erfurt;Thüringen;Deutschland;50.996357;11.071478;https://hofladen.info/hofladen/marienhof-erfurt
Hof Mügge;Postberg 1;27313;Dörverden;Niedersachsen;Deutschland;52.848850;9.227236;https://hofladen.info/hofladen/hof-mugge
Schwerdtners Spreewaldmarkt;Dammstr. 81;03222;Lübbenau;Brandenburg;Deutschland;51.867938;13.971898;https://hofladen.info/hofladen/schwerdtners-spreewaldmarkt
Bruns Beerenobst;Köbens 1;28876;Oyten;Niedersachsen;Deutschland;53.072324;9.093278;https://hofladen.info/hofladen/bruns-beerenobst
Biohof Stövesandt;Hagen 8;29303;Bergen;Niedersachsen;Deutschland;52.824396;9.966916;https://hofladen.info/hofladen/biohof-stovesandt
Honhardter Demeterhöfe;Ostweg 15;74586;Frankenhardt;Baden-Württemberg;Deutschland;49.069930;10.044490;https://hofladen.info/hofladen/honhardter-demeterhofe
Milchtankstelle Familie Bäumlisberger;Erlin 5;74545;Michelfeld;Baden-Württemberg;Deutschland;49.105890;9.656340;https://hofladen.info/hofladen/milchtankstelle-familie-baumlisberger
Glinder Ziegenhof ;Dorfstraße 80 ;39249;Glinde;Sachsen-Anhalt;Deutschland;52.009070;11.848790;https://hofladen.info/hofladen/glinder-ziegenhof
Hof Dannwisch;Dannwisch 1;25358;Horst;Niedersachsen;Deutschland;53.798350;9.615310;https://hofladen.info/hofladen/hof-dannwisch
Püllens Hofladen;Hermannshof;52388;Nörvenich;Nordrhein-Westfalen;Deutschland;50.810913;6.577609;https://hofladen.info/hofladen/pullens-hofladen
Biolandhof Gutheiß;Stegwiesenstraße 93;74423;Obersontheim;Baden-Württemberg;Deutschland;49.071460;9.882327;https://hofladen.info/hofladen/biolandhof-guthei%C3%9F
Thiele's Milchtankstelle;Wehretalstr. 8;37269;Eschwege;Hessen;Deutschland;51.184837;10.004316;https://hofladen.info/hofladen/thiele-s-milchtankstelle
Milchzapfstelle Flade;Obere Dorfstraße 15;1723;Helbigsdorf;Sachsen;Deutschland;51.030560;13.475220;https://hofladen.info/hofladen/milchzapfstelle-flade
Biolandhof Voigt;Willschütz 13;7619;Schkölen;Thüringen;Deutschland;51.017770;11.821660;https://hofladen.info/hofladen/biolandhof-voigt
